LocationAbbr,Infants breastfed at 6 months (%),Healthy Weight for Adults
AK,62.1,31.1
AL,35.8,28.5
AR,39.5,29.7
AZ,54.8,34.2
CA,58.5,36.3
CO,66.2,39.9
CT,55.3,37.3
DC,57.4,43
DE,40.6,30.5
FL,47.3,35.1
GA,48.9,32.5
GU,,33.4
HI,65.3,38.8
IA,52.9,29.9
ID,65.4,33.8
IL,52.5,33.4
IN,37.7,31
KS,50.5,31.1
KY,35.3,29.2
LA,31.2,28.8
MA,67.9,38.4
MD,66.5,34.4
ME,61.1,34
MI,51.6,31.4
MN,65.9,34
MO,56.6,30.8
MS,23.9,26.5
MT,59.3,36
NC,47.5,31.6
ND,51.5,29.7
NE,50,29.7
NH,54.8,35.2
NJ,52.6,34.7
NM,51.1,32.6
NV,49.5,36.3
NY,55.8,37.3
OH,43.8,32.2
OK,37.9,29.7
OR,68.2,36.4
PA,47.6,34.1
PR,37.1,31.3
RI,56,34.9
SC,44,30.9
SD,53.4,31.8
TN,42.5,29.7
TX,46.5,29.5
US,51.8,33.2
UT,70.4,36.7
VA,55.2,33.2
VI,,34.4
VT,64.6,37
WA,63.7,34.8
WI,58.9,32.5
WV,35.8,27.8
WY,59.5,34.2
